t	phi	omega
0.0627	1.55069	-0.615061
0.0628	1.55062	-0.616041
0.0629	1.55056	-0.617022
0.063	1.5505	-0.618003
0.0631	1.55044	-0.618984
0.0632	1.55038	-0.619965
0.0633	1.55032	-0.620945
0.0634	1.55025	-0.621926
0.0635	1.55019	-0.622907
0.0636	1.55013	-0.623888
0.0637	1.55007	-0.624869
0.0638	1.55	-0.625849
0.0639	1.54994	-0.62683
0.064	1.54988	-0.627811
0.0641	1.54982	-0.628792
0.0642	1.54975	-0.629772
0.0643	1.54969	-0.630753
0.0644	1.54963	-0.631734
0.0645	1.54956	-0.632715
0.0646	1.5495	-0.633696
0.0647	1.54944	-0.634676
0.0648	1.54937	-0.635657
0.0649	1.54931	-0.636638
0.065	1.54924	-0.637619
0.0651	1.54918	-0.638599
0.0652	1.54912	-0.63958
0.0653	1.54905	-0.640561
0.0654	1.54899	-0.641542
0.0655	1.54892	-0.642523
0.0656	1.54886	-0.643503
0.0657	1.5488	-0.644484
0.0658	1.54873	-0.645465
0.0659	1.54867	-0.646446
0.066	1.5486	-0.647426
0.0661	1.54854	-0.648407
0.0662	1.54847	-0.649388
0.0663	1.54841	-0.650369
0.0664	1.54834	-0.651349
0.0665	1.54828	-0.65233
0.0666	1.54821	-0.653311
0.0667	1.54815	-0.654292
0.0668	1.54808	-0.655272
0.0669	1.54801	-0.656253
0.067	1.54795	-0.657234
0.0671	1.54788	-0.658215
0.0672	1.54782	-0.659195
0.0673	1.54775	-0.660176
0.0674	1.54769	-0.661157
0.0675	1.54762	-0.662138
0.0676	1.54755	-0.663118
0.0677	1.54749	-0.664099
0.0678	1.54742	-0.66508
0.0679	1.54735	-0.66606
0.068	1.54729	-0.667041
0.0681	1.54722	-0.668022
0.0682	1.54715	-0.669003
0.0683	1.54709	-0.669983
0.0684	1.54702	-0.670964
0.0685	1.54695	-0.671945
0.0686	1.54688	-0.672926
0.0687	1.54682	-0.673906
0.0688	1.54675	-0.674887
0.0689	1.54668	-0.675868
0.069	1.54661	-0.676848
0.0691	1.54655	-0.677829
0.0692	1.54648	-0.67881
0.0693	1.54641	-0.679791
0.0694	1.54634	-0.680771
0.0695	1.54627	-0.681752
0.0696	1.54621	-0.682733
0.0697	1.54614	-0.683713
0.0698	1.54607	-0.684694
0.0699	1.546	-0.685675
0.07	1.54593	-0.686655
0.0701	1.54586	-0.687636
0.0702	1.54579	-0.688617
0.0703	1.54573	-0.689598
0.0704	1.54566	-0.690578
0.0705	1.54559	-0.691559
0.0706	1.54552	-0.69254
0.0707	1.54545	-0.69352
0.0708	1.54538	-0.694501
0.0709	1.54531	-0.695482
0.071	1.54524	-0.696462
0.0711	1.54517	-0.697443
0.0712	1.5451	-0.698424
0.0713	1.54503	-0.699404
0.0714	1.54496	-0.700385
0.0715	1.54489	-0.701366
0.0716	1.54482	-0.702346
0.0717	1.54475	-0.703327
0.0718	1.54468	-0.704308
0.0719	1.54461	-0.705288
0.072	1.54454	-0.706269
0.0721	1.54447	-0.70725
0.0722	1.5444	-0.70823
0.0723	1.54433	-0.709211
0.0724	1.54425	-0.710192
0.0725	1.54418	-0.711172
0.0726	1.54411	-0.712153
0.0727	1.54404	-0.713134
0.0728	1.54397	-0.714114
0.0729	1.5439	-0.715095
0.073	1.54383	-0.716076
0.0731	1.54375	-0.717056
0.0732	1.54368	-0.718037
0.0733	1.54361	-0.719017
0.0734	1.54354	-0.719998
0.0735	1.54347	-0.720979
0.0736	1.54339	-0.721959
0.0737	1.54332	-0.72294
0.0738	1.54325	-0.723921
0.0739	1.54318	-0.724901
0.074	1.5431	-0.725882
0.0741	1.54303	-0.726862
0.0742	1.54296	-0.727843
0.0743	1.54289	-0.728824
0.0744	1.54281	-0.729804
0.0745	1.54274	-0.730785
0.0746	1.54267	-0.731766
0.0747	1.54259	-0.732746
0.0748	1.54252	-0.733727
0.0749	1.54245	-0.734707
0.075	1.54237	-0.735688
0.0751	1.5423	-0.736669
0.0752	1.54223	-0.737649
0.0753	1.54215	-0.73863
0.0754	1.54208	-0.73961
0.0755	1.542	-0.740591
0.0756	1.54193	-0.741572
0.0757	1.54186	-0.742552
0.0758	1.54178	-0.743533
0.0759	1.54171	-0.744513
0.076	1.54163	-0.745494
0.0761	1.54156	-0.746474
0.0762	1.54148	-0.747455
0.0763	1.54141	-0.748436
0.0764	1.54133	-0.749416
0.0765	1.54126	-0.750397
0.0766	1.54118	-0.751377
0.0767	1.54111	-0.752358
0.0768	1.54103	-0.753338
0.0769	1.54096	-0.754319
0.077	1.54088	-0.7553
0.0771	1.54081	-0.75628
0.0772	1.54073	-0.757261
0.0773	1.54065	-0.758241
0.0774	1.54058	-0.759222
0.0775	1.5405	-0.760202
0.0776	1.54043	-0.761183
0.0777	1.54035	-0.762163
0.0778	1.54027	-0.763144
0.0779	1.5402	-0.764125
0.078	1.54012	-0.765105
0.0781	1.54004	-0.766086
0.0782	1.53997	-0.767066
0.0783	1.53989	-0.768047
0.0784	1.53981	-0.769027
0.0785	1.53974	-0.770008
0.0786	1.53966	-0.770988
0.0787	1.53958	-0.771969
0.0788	1.53951	-0.772949
0.0789	1.53943	-0.77393
0.079	1.53935	-0.77491
0.0791	1.53927	-0.775891
0.0792	1.53919	-0.776871
0.0793	1.53912	-0.777852
0.0794	1.53904	-0.778832
0.0795	1.53896	-0.779813
0.0796	1.53888	-0.780793
0.0797	1.53881	-0.781774
